"Season","Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","ARM","DPR","RngR","ErrR","UZR","UZR/150","FRM","OAA","RAA","Def"
"2007","Devil Rays","12867.0","0","0","-3","1","12","-6","-89","","-82","8.7","-2.3","-49.4","-5.3","-48.2","-5.5","","","","-50.2"
"2002","Expos","13077.0","0","0","0","0","0","0","0","","0","15.4","-5.5","-47.3","-14.2","-51.6","-4.0","","","","-51.6"
"2014","Indians","13215.0","2","-4","4","-5","4","8","-66","-5","-55","1.7","-1.6","-52.2","-7.5","-59.6","-7.8","4.0","","","-52.0"
"2013","Astros","12960.0","-3","0","1","4","-6","4","-38","-11","-52","-11.7","4.6","-24.2","-17.4","-48.7","-7.8","-1.3","","","-52.1"
"2006","Indians","12810.0","0","-5","-8","5","-6","6","-32","","-46","-1.8","0.8","-32.1","-6.2","-39.3","-5.3","","","","-53.3"
"2008","Rockies","13014.0","0","0","1","3","-12","-3","-17","","-21","-8.8","2.3","-56.3","3.4","-59.4","-8.7","-17.7","","","-55.0"
"2002","Tigers","12726.0","0","0","0","0","0","0","0","","0","8.4","0.4","-48.1","-14.2","-53.5","-5.3","","","","-55.5"
"2010","Royals","12930.0","-5","-3","-1","-9","-10","-20","-52","-1","-96","-8.6","-9.1","-25.7","-12.1","-55.5","-8.9","-11.7","","","-55.5"
"2008","Rangers","12978.0","0","5","-4","5","3","-9","-47","","-55","2.1","-1.6","-43.1","-3.6","-46.2","-5.7","-23.9","","","-57.8"
"2003","Yankees","13158.0","0","-4","3","-4","-9","0","-21","","-36","-6.6","-2.8","-44.4","-6.0","-59.8","-9.5","","","","-57.8"
"2008","Tigers","13005.0","0","6","2","2","-8","-11","-31","","-32","-8.0","-3.6","-42.4","-6.3","-60.3","-9.3","-15.1","","","-57.9"
"2017","Tigers","12783.0","-12","-3","-3","-6","-12","-12","-63","-3","-115","-14.2","-5.5","9.8","13.1","3.2","-1.6","-13.1","-13","-12","-58.1"
"2014","Astros","12948.0","9","-3","-3","2","-1","7","-6","14","6","-11.6","0.2","-21.6","-16.1","-49.2","-9.2","9.7","","","-59.2"
"2004","Red Sox","13062.0","0","-2","-4","-7","-7","-7","9","","-26","-10.2","-7.2","-21.8","-7.7","-46.9","-8.8","","","","-59.9"
"2009","Royals","12834.0","0","1","-6","-2","-4","-17","-75","","-104","3.7","-3.9","-39.1","-12.2","-51.5","-6.6","-3.4","","","-64.3"
"2005","Royals","12720.0","0","-1","2","5","-7","-7","-110","","-112","0.1","1.1","-62.2","-12.5","-73.6","-9.4","","","","-64.6"
"2003","Brewers","13068.0","0","0","2","-3","1","0","-70","","-82","5.7","-4.2","-55.3","-10.0","-63.9","-7.7","","","","-64.9"
"2010","Pirates","12705.0","-3","2","-6","-2","5","-9","-62","-1","-81","1.7","-4.3","-47.0","-8.2","-57.7","-7.7","-17.3","","","-64.9"
"2008","Diamondbacks","12912.0","0","0","-3","0","-11","-13","4","","-32","-8.0","-1.8","-36.2","-10.5","-56.5","-9.3","6.3","","","-66.0"
"2007","Padres","13362.0","0","-1","-12","1","-5","0","33","","-3","-8.4","3.3","-44.1","8.0","-41.3","-6.7","","","","-72.3"
"2011","Mets","13032.0","-6","-1","-7","-10","1","-15","-31","2","-60","-7.6","-6.9","-33.2","-14.2","-61.9","-9.8","-15.2","","","-72.5"
"2006","Yankees","12993.0","0","-4","3","1","-8","3","-34","","-39","-6.5","-1.5","-62.6","-9.4","-80.1","-11.8","","","","-75.1"
"2004","Yankees","12993.0","0","-4","-4","-2","-3","-5","-54","","-79","-6.7","-2.4","-70.6","10.3","-69.4","-10.3","","","","-78.4"
"2003","Blue Jays","12915.0","0","0","-8","-1","-12","0","-12","","-47","-14.5","-5.9","-43.2","-1.8","-65.5","-11.8","","","","-84.5"
"2005","Yankees","12876.0","0","-2","-2","-3","-7","6","-104","","-120","-4.0","-4.2","-136.0","2.4","-141.7","-19.2","","","","-147.7"
