"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"2012","CIN","97","65","56","587","162","1453.0","7.73","2.64","0.94",".288","76.9%","45.9%","10.7%","93.9","3.34","","3.72","3.80","18.7"
"2016","NYY","84","78","48","645","162","1428.1","8.78","2.80","1.35",".292","74.2%","46.9%","15.5%","95.3","4.16","","4.20","3.86","18.7"
"2022","CLE","92","70","51","669","162","1456.0","8.59","2.69","1.06",".274","73.8%","42.5%","11.2%","93.3","3.47","","3.75","3.78","18.6"
"2017","COL","87","75","47","711","162","1437.2","7.95","3.33","1.19",".305","72.2%","48.5%","14.2%","94.5","4.51","","4.32","4.26","18.6"
"2004","NYY","101","61","59","598","162","1443.2","6.60","2.77","1.13",".300","69.0%","43.1%","10.5%","","4.69","","4.27","4.38","18.6"
"2009","LAD","95","67","44","688","162","1473.1","7.77","3.57","0.78",".275","74.9%","43.7%","8.1%","92.8","3.41","","3.80","4.07","18.6"
"2014","ATL","79","83","54","634","162","1455.0","8.05","2.92","0.75",".300","75.0%","42.7%","8.3%","93.6","3.38","","3.47","3.63","18.6"
"2018","BOS","108","54","46","697","162","1458.2","9.61","3.16","1.09",".294","75.8%","42.4%","11.9%","93.6","3.75","","3.82","3.92","18.5"
"2006","DET","95","67","46","552","162","1448.0","6.23","3.04","0.99",".284","74.1%","45.5%","10.0%","","3.85","","4.32","4.44","18.5"
"2009","CHC","83","78","40","641","161","1445.1","7.92","3.65","1.00",".285","74.4%","42.8%","10.0%","92.0","3.84","","4.11","4.14","18.5"
"2016","DET","86","75","47","637","161","1428.0","7.76","2.91","1.15",".300","72.2%","44.5%","11.7%","93.4","4.24","","4.16","4.31","18.5"
"2009","BOS","95","67","41","625","162","1436.2","7.71","3.32","1.05",".309","73.0%","40.9%","9.4%","93.0","4.35","","4.14","4.25","18.5"
"2015","NYY","87","75","48","659","162","1457.2","8.46","2.93","1.12",".300","73.8%","47.0%","13.6%","94.6","4.03","","3.97","3.70","18.4"
"2010","SFG","92","70","57","638","162","1461.0","8.20","3.56","0.83",".282","77.0%","42.0%","8.0%","92.3","3.36","","3.74","3.94","18.4"
"2007","BOS","96","66","45","613","162","1438.2","7.19","3.02","0.94",".284","73.5%","42.6%","8.7%","90.5","3.87","","4.14","4.28","18.4"
"2008","BOS","95","67","47","628","162","1446.1","7.37","3.41","0.91",".289","72.6%","43.5%","9.2%","92.2","4.01","","4.09","4.23","18.4"
"2002","SEA","93","69","43","505","162","1445.1","6.62","2.75","1.11",".284","72.9%","40.2%","10.3%","","4.07","","4.11","4.16","18.3"
